"","simulatedPrice","observedPrice","Frequency","Pr","ObservedFreq","ObservedPr"
"1",5139.99997598428,24600,1.03855626604081e-06,3.3420243546429e-62,12,0.050215207
"2",5140,24600,4.50385203482281e-73,1.69839538174609e-75,7,0.052673821
"3",6779.99935727875,24600,5.8802982786988e-05,1.1194663187556e-65,3,0.009921475
"4",6779.9999999992,24600,5.46106533123392e-33,1.18823152281996e-35,7,0.009636908
"5",20700,20700,4,5.07532845184843e-74,4,0.005991901
"6",5889.99999344873,25000,4.53941865721162e-07,2.912768528943e-63,3,0.004182005
"7",5890,24600,6.99113115296084e-74,1.39885977473209e-76,2,0.003490016
"8",6339.99999835233,27000,2.31152576683388e-07,1.07377121658114e-63,2,0.002639774
"9",6949.99995462688,24600,2.74465035759858e-06,5.32452568791055e-64,3,0.004780213
"10",61.3865753432874,24600,490.077752240706,1,4,0.004558684
"11",11400,11400,6,8.72339878374717e-74,6,0.01029879
"12",14450,14450,1,4.25076320090977e-67,1,0.841611205
"13",10409.9990169046,36700,4.36646219571618e-05,3.62640493509183e-15,13,0.273188708
"14",10409.9999923084,36700,2.43713599240757e-23,3.98225124196354e-25,14,0.287233511
"15",21700,21700,10,1.02599603060456e-23,10,0.105547645
"16",11069.9999926186,37000,8.49547345121056e-07,2.27174447988153e-15,2,0.012240907
"17",9539.21988102444,36700,226.972294384403,0.999999999993406,2,0.00880545
"18",9579.99941438085,36500,6.619624399874e-05,1.61083091425854e-16,6,0.02302778
"19",29600,29600,11,6.64607242242191e-24,11,0.068370371
"20",11299.8477998661,37400,1.43260161435365e-09,6.58779336556386e-12,4,0.02276328
"21",22950,22950,1,1.1524397141172e-18,1,0.198822349
"22",5139.99986686483,24600,5.52660663491329e-06,1.23930931626092e-95,12,0.052137728
"23",5140,24600,1.56226764853774e-87,5.97677584693426e-90,7,0.053387163
"24",6779.99876826273,24600,0.000115469413289566,1.18604431737953e-98,3,0.009642655
"25",6780,24600,8.37526292505679e-44,1.44682045618691e-46,7,0.009146971
"26",20700,20700,4,7.43816849319044e-107,4,0.006272653
"27",5889.9997455209,25000,1.7132163258119e-05,1.19297830666986e-97,3,0.004283854
"28",5890,24600,2.13248559361321e-107,4.29258198303819e-110,2,0.003513024
"29",6339.99999988396,27000,1.58650790086001e-08,5.08278644907369e-95,2,0.002683977
"30",6949.99987788385,24600,7.9588297155915e-06,3.46897958961516e-97,3,0.00441586
"31",36.624931506849,24600,461.311980140424,1,4,0.00486058
"32",11400,11400,6,1.57718475230839e-106,6,0.010939842
"33",14450,14450,1,6.51809872053421e-100,1,0.838715693
"34",5779.99998346914,21900,1.63839365272453e-06,8.47561855151522e-13,3,0.027675362
"35",5731.80500131364,21900,0.00252914985561069,3.36667439458339e-05,7,0.094261082
"36",21900,21900,2,3.24428469030223e-23,2,0.012349986
"37",5529.99999998924,21900,2.74572652841108e-09,1.72052113255009e-10,2,0.011839797
"38",4744.23034781224,21900,178.063421818531,0.999966333083154,3,0.020424308
"39",6599.99999412931,21900,9.59684762351061e-19,3.35512646469176e-21,1,0.006897569
"40",15310,15310,1,8.65284960795026e-17,1,0.826551896
"41",10409.9839229983,36700,0.000704171548423316,6.26504912448075e-30,13,0.273697562
"42",10409.9999999999,36700,4.29164437818602e-36,7.09265843489051e-38,14,0.290259757
"43",21700,21700,10,7.4446311718111e-37,10,0.106448266
"44",11069.999090955,37000,9.81712673622946e-05,4.55977945781946e-31,2,0.012940747
"45",11069.9999999612,36700,6.27810928102992e-26,2.9185048264895e-28,2,0.009301776
"46",9579.9993180596,36500,8.05113936891294e-05,4.73215963626609e-30,6,0.021800373
"47",29600,29600,11,1.26606752772915e-37,11,0.065948407
"48",9752.14419001672,37400,176.409292105558,1,4,0.022777597
"49",22950,22950,1,2.40468125078099e-32,1,0.196825516
"50",5779.99998697196,21900,1.42007133003363e-06,2.64585033508034e-35,3,0.025163278
"51",5780,21900,1.01014168503577e-44,1.34215319945677e-46,7,0.093916288
"52",21900,21900,2,1.50495495951426e-45,2,0.012598042
"53",5529.99999992087,21900,1.92604745669079e-08,5.9749675758891e-34,2,0.012399891
"54",5529.99999570597,21900,1.22188588995421e-21,7.55508762833286e-24,3,0.022504307
"55",5764.88438787261,21900,255.903541226437,1,1,0.007677388
"56",15310,15310,1,1.72320012516922e-39,1,0.825740805
