"","Frequency","Pr","ObservedFreq","ObservedPr"
"1",1.26113897730773,0.00423347468064132,23,0.0502152072355735
"2",20,0.00681136768279879,20,0.0526738207927722
"3",5.64753889723861,0.0089608811671611,23,0.00992147494223046
"4",20,0.00681136768279879,20,0.00963690766406298
"5",4,0.00888555520297316,4,0.00599190110787948
"6",0.455373913067106,0.000954028098230559,23,0.00418200549256607
"7",20,0.00255486338327451,20,0.00349001582480424
"8",13.2827633323192,0.0137443930777411,23,0.00263977413749965
"9",2.46811777679718,0.00592305453876196,23,0.00478021323972429
"10",20,0.00681136768279879,20,0.00455868427544856
"11",6,0.0087108058208359,6,0.0102987900740229
"12",1,0.925598840981984,1,0.841611205213416
"13",5.70265945126315,0.0838664633211506,21,0.273188707821163
"14",20,0.127018636449701,20,0.287233511390588
"15",10,0.0696757322081877,10,0.10554764461731
"16",5.39036775230327,0.030583571361817,21,0.012240906830344
"17",20,0.0476431868563369,20,0.00880544991564814
"18",36.9581882678163,0.213568204707741,21,0.0230277798308238
"19",11,0.00656798377673814,11,0.068370370781311
"20",20,0.127018636449701,20,0.0227632798922959
"21",1,0.294057584868627,1,0.198822348920516
"22",0.395330812880233,0.00137754375916352,23,0.0521377283398918
"23",20,0.00833475426584752,20,0.0533871626803695
"24",0.745603204258903,0.00115045270641331,23,0.00964265456608054
"25",20,0.00506801535073887,20,0.00914697057944341
"26",4,0.0397415474025352,4,0.00627265337838874
"27",1.0401281180091,0.00223478956733359,23,0.0042838541403503
"28",20,0.00833475426584752,20,0.00351302353401203
"29",0.0560037948324019,5.91454828906681e-05,23,0.00268397740349964
"30",0.532633324964292,0.00118212154116465,23,0.00441585952566276
"31",20,0.00616161690433951,20,0.00486058016029995
"32",6,0.00706037031252243,6,0.0109398422807107
"33",1,0.919294888441203,1,0.838715693411291
"34",0.684080812504606,0.0082763120454286,5,0.0276753622160001
"35",11,0.00514516604038235,11,0.094261081987969
"36",2,0.00112095619905811,2,0.0123499862515116
"37",1.67865297359922,0.00788446031214102,5,0.0118397974225116
"38",11,0.00312856020022164,11,0.0204243075903154
"39",11,0.00514516604038235,11,0.00689756899786496
"40",1,0.969299379162386,1,0.826551895533827
"41",4.69035445761287,0.0691835238364057,21,0.273697562018623
"42",20,0.097373395955573,20,0.290259756580645
"43",10,0.0715864787330662,10,0.106448265864544
"44",28.5309375864605,0.170680951038403,21,0.0129407466696309
"45",20,0.097373395955573,20,0.009301775642276
"46",2.56764301790961,0.0140498824203419,21,0.0218003729064721
"47",11,0.0240173257276925,11,0.0659484069346302
"48",20,0.0340312327221719,20,0.0227775974330554
"49",1,0.421703813610772,1,0.196825515950124
"50",2.93657341133966,0.0322599188553936,5,0.0251632781877138
"51",11,0.00808834020220252,11,0.0939162881884618
"52",2,0.0341752436938012,2,0.0125980423676879
"53",14.652305285113,0.0720790489294798,5,0.0123998908198094
"54",11,0.00808834020220252,11,0.022504307499708
"55",11,0.00282681100988651,11,0.00767738828386325
"56",1,0.842482297107034,1,0.825740804652756
