"","シミュレーション","運賃"
"1",151.831339043267,24600
"2",772.121676937966,24600
"3",820.895964066154,24600
"4",77.2396942121021,24600
"5",137.761802517485,24600
"6",2495970.365931,36700
"7",465.384501266621,36700
"8",904.95947614816,36700
"9",21022.1871753245,24600
"10",468.71379736372,24600
"11",1143.44299190172,24600
"12",59.9221667275212,24600
"13",972.992233344861,24600
"14",678.496696832777,21900
"15",101.753018876231,21900
"16",3388464049.52203,36700
"17",516.004334939571,36700
"18",572.62415436424,36700
"19",64.1649886277124,21900
"20",104.730807512347,21900
